name,handedness,height,weight,avg,HR,cat
Bill Fahey,L,72,200,0.24100000000000002,7,['good']
Doug Camilli,R,71,195,0.19899999999999998,18,['average']
Bernie Allen,L,72,175,0.239,73,['excellent']
Bruce Bochy,R,75,205,0.239,26,['excellent']
Gary Ignasiak,R,71,185,0.0,0,['poor']
Claudell Washington,L,72,190,0.278,164,['excellent']
John Donaldson,L,71,160,0.23800000000000002,4,['good']
Mike Smithson,L,80,215,0.0,0,['poor']
John Mayberry,L,75,215,0.253,255,['excellent']
Ken Reitz,R,72,180,0.26,68,['excellent']
Amos Otis,R,71,165,0.27699999999999997,193,['excellent']
Gene Alley,R,70,160,0.254,55,['excellent']
Ted Sizemore,R,70,165,0.262,23,['excellent']
Dan Briggs,L,72,180,0.195,12,['poor']
Joe Skalski,R,75,190,0.0,0,['poor']
Doug Flynn,R,71,165,0.23800000000000002,7,['good']
Bert Bradley,B,73,190,0.0,0,['poor']
Ken Holtzman,R,74,175,0.163,2,['poor']
Pete Ward,L,73,185,0.254,98,['excellent']
Kevin Bell,R,72,195,0.222,13,['poor']
Tom Nieto,R,73,193,0.205,5,['poor']
Duke Sims,L,74,197,0.239,100,['excellent']
Larvell Blanks,R,68,167,0.253,20,['excellent']
Francisco Barrios,R,71,155,0.0,0,['poor']
Mike Davis,L,74,175,0.259,91,['excellent']
Jerry Reuss,L,77,200,0.16699999999999998,1,['poor']
Steve Yeager,R,72,190,0.228,102,['average']
Danny Goodwin,L,73,195,0.23600000000000002,13,['poor']
Bud Harrelson,B,71,160,0.23600000000000002,7,['poor']
Bob Knepper,L,75,195,0.13699999999999998,6,['poor']
Mickey Rivers,L,70,165,0.295,61,['excellent']
Jim Northrup,L,75,190,0.267,153,['excellent']
John Hale,L,74,195,0.201,14,['poor']
Reggie Ritter,L,74,195,0.0,0,['poor']
Pedro Garcia,R,70,175,0.22,37,['average']
Carl Yastrzemski,L,71,175,0.285,452,['excellent']
Bob Babcock,R,77,210,0.0,0,['poor']
Craig Eaton,R,71,175,0.0,0,['poor']
